net,length_um
clknet_0_clk,673.51
net62,401.555
_1144_,373.2
_0400_,362.9
net139,357.04
net140,350.72
rst,335.29
_1187_,319.31
_0787_,315.9
_0630_,297.43
net1,296.14
_1183_,295.54
net86,291.88
_0490_,287.89
net87,286.23
_0480_,284.64
net84,283.24
net78,280.76
net88,280.29
net89,279.16
net77,275.55
net83,272.78
_0483_,272.08
net76,271.07
net85,270.43
net100,269.5
net82,268.66
_1260_,266.26
_0392_,265.485
net60,263.035
net81,262.25
_0481_,261.18
net80,255.51
net91,247.255
_1185_,240.78
_0479_,240.11
ssdc.digit_select\[1\],238.42
clk,235.63
_1181_,234.38
_0577_,232.855
_1264_,231.235
net92,225.165
net70,223.54
net73,220.04
_0631_,218.79
_1016_,217.75
net122,217.675
_0474_,215.92
ssdc.digit_select\[0\],215.69
clknet_4_7_0_clk,212.915
net51,207.17
_0478_,206.94
clknet_4_3_0_clk,200.9
net111,196.46
_0403_,196.12
net69,195.08
_0437_,195.03
_1268_,190.86
net125,190.385
net74,188.76
net25,181.56
_1265_,181.46
net99,180.82
_1096_,180.34
_1099_,175.42
net26,174.76
_1134_,173.34
_1138_,172.6
_1117_,172.44
_1077_,167.16
_1112_,165.04
_1142_,164.73
net98,163.94
_0415_,163.52
_1081_,163.1
clknet_4_5_0_clk,162.72
_1025_,161.36
_0790_,160.74
_1086_,160.61
_1130_,159.16
_1103_,158.9
_0578_,158.89
_1091_,156.32
_0795_,155.8
net23,153.96
net142,153.21
_0840_,152.795
_1053_,150
_1126_,149.14
_1261_,148.435
net97,147.02
_1122_,146.47
_1108_,145.58
_0815_,144.86
net96,143.53
clknet_4_0_0_clk,143.12
_0677_,140.02
_0356_,138.02
_0438_,137.48
_1047_,137.46
_1271_,137.4
net94,135.98
net121,135.41
_1015_,135.02
net120,134.32
clknet_4_1_0_clk,132.9
_0393_,131.08
_1255_,129.36
_0800_,128.98
net118,127.22
_1033_,127.14
clknet_4_14_0_clk,125.445
net22,124.36
net21,123.64
_0395_,123.25
_0355_,122.25
_1270_,121.8
_0629_,120.47
clknet_4_4_0_clk,119.82
net2,119
net75,118.555
_0367_,117.16
_0488_,116.83
net95,116.6
_1263_,116.36
_0404_,115.06
_1262_,114.9
