net,length_um
net116,114.67
_0486_,114.24
net20,113.92
_1258_,112.12
clknet_4_12_0_clk,110.72
clknet_4_2_0_clk,110.16
net132,109.74
_0860_,108.86
_0542_,108.68
_0932_,108.26
net141,106.64
net43,106.35
_1059_,105.1
net61,105.02
_1214_,104.76
_0473_,104.18
_0378_,102.94
clknet_4_15_0_clk,102.82
net66,102.5
_0520_,101.56
clknet_4_6_0_clk,100.28
_0476_,100.115
net71,99.88
_0848_,99.56
_0796_,99.44
clknet_4_13_0_clk,99.18
_1257_,98.97
_0354_,97.98
_0834_,97.56
_0556_,97.54
_0482_,97.06
net68,96.7
_0862_,96.4
_1022_,95.86
net18,95.76
_0539_,93.98
net119,93.36
net13,93.2
_1087_,92.775
_0804_,92.4
_1256_,91.86
_1266_,91.04
_0487_,91.03
_0907_,90.775
net133,90.08
net72,89.45
net90,89.38
_0477_,89.34
_1272_,89.08
_0832_,86.835
_0449_,86.6
_1251_,85.98
_1253_,85.88
clknet_4_11_0_clk,85.58
_0921_,85.17
_1003_,85.1
_0926_,84.76
net123,84.76
_1252_,84.52
net24,84.02
net28,83.74
_1041_,83.64
_1028_,83.54
net128,83.02
net19,82.38
_0867_,80.73
net131,80.6
_1151_,80
net93,79.94
_0943_,79.48
net79,79.19
_0394_,79.08
_0806_,79
_1162_,78.94
_0396_,78.56
_0399_,78.22
_0855_,77.31
net117,76.54
net27,75.78
net101,75.74
_1259_,75.4
net114,75.215
_0961_,74.27
_0992_,71.66
net124,71.3
_0541_,71.24
_0952_,70.78
net112,70.69
_0934_,70.34
_0426_,70.28
net196,70.26
net134,70.24
_0876_,68.395
_0472_,66.36
_0966_,66.24
net110,65.34
_0798_,65.3
net29,64.72
clknet_4_10_0_clk,64.02
net115,63.7
_0910_,63.5
net106,63.28
net113,63.22
net31,61.38
_0884_,61.22
_0831_,61.17
clknet_4_8_0_clk,60.36
_0625_,57.9
net54,57.24
net126,57.24
net127,57.18
_0985_,56.54
_1000_,55.92
net107,55.6
_1012_,55.44
net108,54.86
net34,54.62
_0979_,54.44
_0890_,54.22
clknet_4_9_0_clk,53.88
_0514_,53.68
net16,53.64
_0967_,53.52
_0991_,52.78
_1043_,52.76
net130,51.34
net17,50.54
net15,50.42
net30,49.92
_0917_,49.23
_0924_,48.96
_0944_,48.92
_0971_,48.83
net8,47.96
_0864_,47.24
net36,47.14
_0528_,46.95
_0523_,46.795
_0974_,46.46
_1250_,46.32
_0978_,46.18
_0977_,46.06
_0705_,45.91
net105,45.86
_1182_,45.82
_1233_,45.74
_0711_,45.345
_0906_,45.34
_0717_,45.27
net184,45.22
_0877_,45.1
_0555_,44.98
_1001_,44.56
net6,44.14
_0754_,43.82
rf.registers\[5\]\[18\],43.66
net129,43.66
_0723_,43.52
net109,43.52
_0398_,43.49
_0909_,43.2
_1045_,43.06
_0970_,42.6
net64,42.38
_1040_,42.14
_0995_,42
_0994_,41.72
_0984_,41.66
_0390_,41.64
net12,41.58
net135,41.38
_0841_,41.2
_0526_,41.055
net104,40.84
_1186_,40.435
_0602_,40.18
net32,39.96
net52,39.94
net103,39.375
_0494_,39.18
_0947_,38.9
rf.registers\[15\]\[14\],38.7
_0683_,38.33
_0918_,38.28
_0856_,37.54
_0847_,37.2
_0915_,37.14
_0940_,37.1
_0828_,36.96
rf.registers\[15\]\[9\],36.8
rf.registers\[10\]\[12\],36.14
_0586_,35.7
_0883_,35.56
_0502_,35.52
_1063_,35.48
_0816_,35.46
_1038_,35.08
net7,34.94
_0859_,34.78
_0659_,34.56
net5,34.42
rf.registers\[10\]\[28\],34.22
_0987_,34.18
_0785_,33.8
rf.registers\[10\]\[31\],33.64
_0713_,33.44
_0557_,33.34
rf.registers\[10\]\[29\],33.3
_0537_,33.23
rf.registers\[10\]\[30\],33.1
_0497_,32.84
_0518_,32.84
_0590_,32.64
_1235_,32.42
rf.registers\[5\]\[21\],31.98
_0607_,31.84
_0712_,31.68
_0896_,31.6
_0916_,31.6
_1137_,31.6
_0988_,31.54
_0996_,31.48
_1067_,31.46
_1242_,31.46
_0757_,31.1
net185,30.82
_0823_,30.74
net102,30.525
_0492_,29.98
_1267_,29.9
_1085_,29.48
_1058_,29.42
_1141_,29.42
_1021_,29.26
ssdc.clk_divider\[7\],29.08
rf.registers\[10\]\[5\],29.02
_0698_,28.94
_0861_,28.9
ssdc.clk_divider\[0\],28.3
_0999_,28.28
_1269_,28.28
rf.registers\[10\]\[8\],28.12
ssdc.clk_divider\[10\],28.04
_0938_,27.9
net65,27.9
_0948_,27.78
_1209_,27.54
_0634_,27.48
rf.registers\[15\]\[10\],27.28
ssdc.clk_divider\[14\],27.18
_0575_,27.16
net191,27.12
_1069_,27.06
net35,27.02
_1093_,26.7
_0503_,26.56
_1218_,26.52
_0951_,26.48
_1005_,26.22
rf.registers\[15\]\[18\],26.2
_0941_,26.18
net136,26.16
_0771_,25.7
_0627_,25.64
rf.registers\[10\]\[9\],25.48
_0919_,25.28
_0529_,25.16
_0761_,25.01
_0833_,24.98
_0748_,24.92
_1002_,24.84
_1080_,24.82
_1074_,24.76
_1190_,24.62
_1071_,24.6
_1221_,24.6
_0736_,24.5
_0655_,24.42
_0763_,24.32
_1027_,24.26
_0897_,24.24
rf.registers\[10\]\[7\],24.2
_0564_,24.18
_0963_,24.12
_0953_,24.06
_0496_,23.94
_0925_,23.6
_0998_,23.54
_0839_,23.5
rf.registers\[5\]\[15\],23.44
_0923_,23.42
_1245_,23.34
rf.registers\[5\]\[3\],23.12
_0960_,23.08
_1014_,23
_1032_,23
rf.registers\[10\]\[25\],22.96
_1051_,22.78
_0573_,22.7
ssdc.clk_divider\[16\],22.58
_1102_,22.46
net14,22.34
_0814_,22.32
_0726_,22.28
_0517_,22.16
_1098_,22.12
_0647_,21.98
_0973_,21.96
_0922_,21.88
rf.registers\[25\]\[2\],21.88
_0316_,21.86
net33,21.78
net67,21.76
rf.registers\[15\]\[28\],21.74
_0749_,21.7
rf.registers\[15\]\[21\],21.66
_0538_,21.54
_0676_,21.44
rf.registers\[5\]\[4\],21.38
_0692_,21.22
_0845_,21.16
_0669_,21.14
net138,21.1
ssdc.clk_divider\[4\],20.95
_0708_,20.81
_0570_,20.77
rf.registers\[15\]\[24\],20.7
_0664_,20.62
_1205_,20.62
rf.registers\[10\]\[26\],20.58
rf.registers\[15\]\[26\],20.52
_0613_,20.475
rf.registers\[10\]\[15\],20.46
_0933_,20.36
_0701_,20.26
rf.registers\[15\]\[20\],20.26
ssdc.clk_divider\[12\],20.24
_0679_,20.2
_0962_,20.16
net4,20.16
_0873_,20
_0636_,19.94
_0658_,19.86
_1133_,19.86
_0640_,19.8
rf.registers\[15\]\[17\],19.68
_0927_,19.66
_0132_,19.51
_0699_,19.42
_0622_,19.38
_0694_,19.08
net229,19.045
rf.registers\[25\]\[26\],19.04
_0822_,18.98
ssdc.clk_divider\[6\],18.96
_0695_,18.94
_1089_,18.94
rf.registers\[5\]\[13\],18.94
_0939_,18.86
rf.registers\[15\]\[25\],18.78
_0598_,18.7
_0592_,18.66
_1075_,18.48
_0566_,18.4
net190,18.34
_0568_,18.28
rf.registers\[25\]\[3\],18.28
net287,18.24
_0997_,18.16
_0898_,18.11
_0812_,18.1
_0530_,18.08
_0680_,18.06
_0512_,18.03
_0829_,18
_1007_,17.99
_0900_,17.94
_0688_,17.9
_0975_,17.885
_0724_,17.82
_0662_,17.74
net11,17.7
net3,17.64
_0604_,17.53
_0543_,17.4
_0882_,17.36
rf.registers\[10\]\[10\],17.36
_0643_,17.32
_1230_,17.3
rf.registers\[10\]\[16\],17.3
_1132_,17.24
_0133_,17.21
rf.registers\[15\]\[8\],17.18
rf.registers\[10\]\[13\],17.16
rf.registers\[15\]\[12\],17.16
_0789_,17.1
immediate_tb[0],17.1
immediate_tb[3],17.1
net58,17.08
_0868_,17.06
rf.registers\[25\]\[24\],17.06
_0460_,16.96
rf.registers\[5\]\[1\],16.96
_0826_,16.9
_0990_,16.9
ssdc.clk_divider\[1\],16.8
_0802_,16.78
immediate_tb[1],16.76
_0706_,16.7
rf.registers\[25\]\[23\],16.68
_0611_,16.64
_0854_,16.64
rd2_tb[21],16.64
rf.registers\[15\]\[27\],16.62
_0759_,16.6
_0955_,16.6
rf.registers\[10\]\[14\],16.44
_0671_,16.4
_0743_,16.4
rf.registers\[25\]\[0\],16.4
rd2_tb[19],16.3
rd2_tb[22],16.3
rf.registers\[15\]\[13\],16.16
immediate_tb[15],16.14
_0678_,16.1
rf.registers\[25\]\[17\],16.08
net166,16
_0624_,15.92
_0746_,15.92
_0807_,15.92
_0397_,15.78
ssdc.clk_divider\[15\],15.74
_0650_,15.72
_0515_,15.68
_1210_,15.64
_1072_,15.6
ssdc.clk_divider\[8\],15.6
_0620_,15.47
_0348_,15.4
_0594_,15.4
immediate_tb[2],15.4
rd2_tb[11],15.4
_0606_,15.34
rf.registers\[10\]\[23\],15.34
_1009_,15.32
instruction_tb[26],15.32
rf.registers\[5\]\[2\],15.32
_1052_,15.28
_0516_,15.26
_0878_,15.26
rd2_tb[6],15.26
rd2_tb[7],15.26
_0865_,15.24
_0616_,15.18
_0972_,15.165
_0894_,15.14
rd2_tb[16],15.14
rf.registers\[15\]\[0\],15.14
net223,15.08
_0730_,15.04
rd2_tb[18],14.94
rd2_tb[20],14.94
rd2_tb[25],14.94
instruction_tb[25],14.92
instruction_tb[27],14.92
rd2_tb[10],14.92
_0733_,14.9
_1220_,14.86
_0361_,14.84
_0637_,14.84
net56,14.84
rd2_tb[14],14.8
rd2_tb[28],14.8
_0350_,14.785
_0617_,14.72
_0879_,14.62
_0899_,14.62
_0312_,14.6
net59,14.6
_1019_,14.48
_0201_,14.46
rd2_tb[15],14.46
rd2_tb[27],14.46
rd2_tb[30],14.46
_0195_,14.44
immediate_tb[14],14.44
net183,14.42
rf.registers\[25\]\[7\],14.4
_0777_,14.38
_0750_,14.36
net165,14.32
_0755_,14.26
rf.registers\[15\]\[29\],14.26
_0511_,14.24
rd2_tb[5],14.24
rd2_tb[9],14.24
_0642_,14.22
_0654_,14.22
_1247_,14.22
net178,14.16
_0901_,14.14
_1062_,14.08
rf.registers\[10\]\[4\],14.08
rf.registers\[10\]\[0\],14.06
_0550_,13.92
_1066_,13.84
rd2_tb[13],13.78
rd2_tb[24],13.78
rd2_tb[31],13.78
_1197_,13.75
_1254_,13.72
Result[31],13.69
_0558_,13.68
_0968_,13.56
_1249_,13.56
rd1_tb[0],13.56
rd2_tb[8],13.56
_0820_,13.54
_0779_,13.53
instruction_tb[31],13.52
net279,13.5
_0651_,13.425
_1216_,13.4
_0036_,13.38
_0459_,13.38
net144,13.32
net147,13.32
_0441_,13.3
_0912_,13.3
rf.registers\[10\]\[6\],13.3
_0740_,13.28
_0165_,13.22
_0744_,13.2
net145,13.2
net148,13.2
net42,13.18
ssdc.clk_divider\[3\],13.12
_0674_,13.1
rd2_tb[17],13.1
rd2_tb[29],13.1
_1020_,13.08
net146,13.08
net149,13.08
rf.registers\[15\]\[30\],13.08
rf.registers\[25\]\[14\],13.08
rf.registers\[25\]\[28\],13.08
_0227_,13.045
net228,13
_1275_,12.98
_0801_,12.96
_0945_,12.9
ssdc.clk_divider\[2\],12.86
net192,12.86
_0942_,12.84
rf.registers\[10\]\[19\],12.84
_0827_,12.8
_0587_,12.78
rf.registers\[10\]\[3\],12.76
rf.registers\[25\]\[15\],12.76
_0150_,12.72
_0881_,12.66
_0224_,12.625
_0359_,12.62
an[1],12.62
instruction_tb[23],12.62
instruction_tb[30],12.62
rf.registers\[5\]\[19\],12.62
_0935_,12.58
_0600_,12.56
_0714_,12.54
rf.registers\[10\]\[22\],12.52
rf.registers\[10\]\[11\],12.5
rf.registers\[15\]\[19\],12.5
_1105_,12.46
_0819_,12.4
_0610_,12.34
_0615_,12.32
rf.registers\[25\]\[4\],12.26
_1236_,12.14
instruction_tb[24],12.14
_1223_,12.09
_0388_,12.06
_1194_,12.04
_1244_,12.02
net150,11.94
net9,11.92
_0732_,11.84
_0830_,11.84
_0794_,11.82
net151,11.82
rf.registers\[15\]\[22\],11.8
_0846_,11.78
rf.registers\[5\]\[24\],11.78
ssdc.clk_divider\[13\],11.76
_0872_,11.74
_0269_,11.72
_0946_,11.72
_1127_,11.72
net152,11.7
seg[3],11.7
_0660_,11.68
rd2_tb[23],11.68
_0725_,11.64
rf.registers\[25\]\[25\],11.62
_0684_,11.58
ssdc.clk_divider\[18\],11.56
_0125_,11.54
_0553_,11.54
_0628_,11.54
_0719_,11.5
_1193_,11.42
rf.registers\[5\]\[25\],11.42
_0780_,11.38
rf.registers\[10\]\[27\],11.38
_0824_,11.36
_1201_,11.32
_1143_,11.26
_0377_,11.24
net331,11.24
_0519_,11.225
alu_op_tb[0],11.22
instruction_tb[29],11.22
pc_out_tb[1],11.22
pc_out_tb[2],11.22
rd1_tb[10],11.22
rd1_tb[17],11.22
rd1_tb[3],11.22
rd2_tb[12],11.22
rd2_tb[26],11.22
_0751_,11.2
_1048_,11.2
_1159_,11.2
net48,11.2
net186,11.2
_0581_,11.14
_0843_,11.14
_0653_,11.12
_1140_,11.12
rf.registers\[10\]\[2\],11.1
_0196_,11.08
_0416_,11.04
_0851_,11.04
_1200_,11.04
_1238_,11.04
_1008_,11
_0534_,10.94
_0328_,10.88
_0423_,10.86
rf.registers\[15\]\[31\],10.86
ssdc.clk_divider\[9\],10.84
_0364_,10.82
net188,10.8
_0446_,10.78
_1211_,10.78
rd1_tb[11],10.78
rd1_tb[4],10.78
rd2_tb[2],10.78
net164,10.76
net177,10.76
instruction_tb[22],10.76
_0233_,10.74
_0274_,10.7
_0957_,10.7
_1226_,10.7
_0444_,10.66
rf.registers\[10\]\[24\],10.66
_0596_,10.64
_0644_,10.62
_0892_,10.62
rf.registers\[15\]\[3\],10.62
_0871_,10.6
_0885_,10.585
_1198_,10.58
rd2_tb[1],10.56
_1191_,10.5
rf.registers\[25\]\[6\],10.46
_1207_,10.4
_0164_,10.38
_0379_,10.34
_0657_,10.34
_0661_,10.32
_0803_,10.32
_0981_,10.32
an[0],10.32
rf.registers\[5\]\[27\],10.32
seg[6],10.32
ssdc.clk_divider\[5\],10.3
Result[0],10.29
Result[3],10.29
_1199_,10.28
rf.registers\[25\]\[16\],10.28
_0767_,10.24
_0731_,10.22
pc_out_tb[0],10.22
_0562_,10.2
_0781_,10.2
net311,10.2
_0234_,10.165
rf.registers\[5\]\[23\],10.16
net44,10.16
rf.registers\[5\]\[10\],10.14
_0850_,10.12
net328,10.12
net170,10.1
_0252_,10.06
_1115_,10.06
rf.registers\[25\]\[1\],10.06
rf.registers\[15\]\[15\],10.04
_0147_,9.98
_1035_,9.98
net143,9.98
net327,9.98
_1222_,9.96
_0268_,9.94
_0362_,9.94
_0382_,9.94
_0531_,9.92
_0501_,9.88
rd1_tb[12],9.88
rd1_tb[5],9.88
rd2_tb[0],9.88
rd2_tb[4],9.88
_0583_,9.86
an[2],9.86
an[3],9.86
rf.registers\[15\]\[1\],9.86
seg[0],9.86
seg[1],9.86
seg[2],9.86
seg[4],9.86
seg[5],9.86
net230,9.86
net233,9.84
_0212_,9.825
_0336_,9.82
_0535_,9.82
_0720_,9.82
_0905_,9.82
rf.registers\[15\]\[5\],9.82
_0689_,9.8
rf.registers\[25\]\[20\],9.8
_0521_,9.745
_0052_,9.73
_0505_,9.73
rf.registers\[5\]\[12\],9.72
_0533_,9.7
_0588_,9.64
net155,9.64
net159,9.64
net179,9.64
rf.registers\[25\]\[18\],9.64
_0303_,9.58
_1243_,9.58
rf.registers\[25\]\[30\],9.58
_0310_,9.54
_0202_,9.52
net321,9.52
_0228_,9.495
_0300_,9.48
_0857_,9.48
_0875_,9.48
_0738_,9.44
_0766_,9.44
instruction_tb[28],9.42
rd1_tb[18],9.42
rd1_tb[19],9.42
rd1_tb[29],9.42
rd2_tb[3],9.42
net167,9.4
_0682_,9.38
_0836_,9.38
rf.registers\[15\]\[2\],9.36
_0709_,9.24
_1083_,9.24
_0226_,9.225
net153,9.18
net160,9.18
rf.registers\[25\]\[13\],9.16
_0158_,9.13
rf.registers\[5\]\[5\],9.12
_0522_,9.08
_0735_,9.08
_0532_,9.04
_1202_,9.04
rf.registers\[25\]\[29\],9.04
net259,9.04
_0691_,9.02
_1234_,8.96
instruction_tb[17],8.96
rd1_tb[2],8.96
_0321_,8.94
_0548_,8.94
net41,8.94
_0810_,8.93
net207,8.925
_0192_,8.9
_0700_,8.9
rf.registers\[5\]\[6\],8.9
ssdc.clk_divider\[19\],8.9
_1124_,8.86
_0372_,8.82
net187,8.82
_0889_,8.8
rf.registers\[15\]\[6\],8.8
_0635_,8.78
_0774_,8.78
_0817_,8.78
_1006_,8.78
net189,8.78
_0049_,8.74
net181,8.72
net154,8.72
net156,8.72
net157,8.72
net158,8.72
net161,8.72
net162,8.72
net163,8.72
net174,8.72
net176,8.72
net168,8.72
net169,8.72
net171,8.72
net172,8.72
net173,8.72
_0559_,8.7
rf.registers\[15\]\[16\],8.7
_0288_,8.68
_0672_,8.64
_0138_,8.62
_0053_,8.61
_0309_,8.6
net206,8.6
_0451_,8.56
_1184_,8.56
net224,8.56
ssdc.clk_divider\[17\],8.54
_0858_,8.52
_1273_,8.5
instruction_tb[16],8.5
instruction_tb[2],8.5
instruction_tb[3],8.5
rd1_tb[26],8.5
rd1_tb[27],8.5
rd1_tb[28],8.5
rd1_tb[30],8.5
rd1_tb[31],8.5
net213,8.48
net240,8.48
_0363_,8.44
_0958_,8.44
rf.registers\[15\]\[23\],8.44
rf.registers\[25\]\[5\],8.44
_1192_,8.41
_0375_,8.38
rf.registers\[25\]\[9\],8.38
rf.registers\[15\]\[4\],8.36
net249,8.36
net307,8.36
_0609_,8.34
_0808_,8.34
_0863_,8.32
_0825_,8.3
net266,8.28
_0267_,8.26
_0920_,8.26
net175,8.26
Result[16],8.25
_0715_,8.24
_0775_,8.24
_0614_,8.16
_0784_,8.14
_0455_,8.1
_0778_,8.06
alu_op_tb[1],8.04
alu_op_tb[2],8.04
instruction_tb[0],8.04
instruction_tb[14],8.04
instruction_tb[15],8.04
instruction_tb[19],8.04
rd1_tb[1],8.04
rd1_tb[7],8.04
_0911_,8.02
ssdc.clk_divider\[11\],8
_0453_,7.98
_0466_,7.98
net193,7.97
_0002_,7.96
_0580_,7.94
_0686_,7.94
_1055_,7.94
_0419_,7.9
_0702_,7.9
_0295_,7.885
_0387_,7.86
_0546_,7.86
_0563_,7.86
_0162_,7.85
_0422_,7.82
_0463_,7.78
rf.registers\[15\]\[11\],7.78
rf.registers\[5\]\[22\],7.74
_1119_,7.685
_0181_,7.68
_0842_,7.66
_1049_,7.66
_0646_,7.64
net253,7.64
_0094_,7.63
_0381_,7.6
instruction_tb[1],7.58
instruction_tb[20],7.58
rd1_tb[13],7.58
rd1_tb[14],7.58
rd1_tb[15],7.58
rd1_tb[16],7.58
rd1_tb[20],7.58
rd1_tb[21],7.58
rd1_tb[22],7.58
rd1_tb[23],7.58
rd1_tb[24],7.58
rd1_tb[25],7.58
rd1_tb[6],7.58
rd1_tb[8],7.58
rd1_tb[9],7.58
Result[17],7.57
Result[9],7.57
_0327_,7.56
_0465_,7.56
_0565_,7.56
_0648_,7.56
_0895_,7.56
_1082_,7.56
rf.registers\[10\]\[1\],7.56
rf.registers\[5\]\[17\],7.56
net297,7.56
_0633_,7.52
_0936_,7.52
rf.registers\[5\]\[28\],7.52
_0499_,7.5
_0753_,7.48
_0349_,7.42
_0549_,7.42
_1120_,7.42
_0544_,7.4
_0507_,7.395
Result[18],7.35
_0205_,7.34
_0402_,7.34
_0246_,7.32
_0513_,7.32
_1241_,7.32
_0551_,7.3
rf.registers\[10\]\[20\],7.28
_0038_,7.27
rf.registers\[5\]\[14\],7.24
_0085_,7.22
_0468_,7.22
_0769_,7.22
_1171_,7.22
_0167_,7.18
_1061_,7.18
rf.registers\[25\]\[31\],7.18
net283,7.18
_0447_,7.14
_0572_,7.14
_0626_,7.14
net320,7.12
_0976_,7.1
_1010_,7.1
_1100_,7.1
_1107_,7.1
_1118_,7.1
rf.registers\[10\]\[17\],7.1
net218,7.1
_0561_,7.08
_0311_,7.065
_0866_,7.06
_0886_,7.06
_1029_,7.06
_1078_,7.06
_1175_,7.06
_0012_,7.05
_0956_,7
_0062_,6.98
_0649_,6.98
_0821_,6.98
_1065_,6.98
_1110_,6.98
_0799_,6.96
_0809_,6.96
_0113_,6.94
_0623_,6.94
_1073_,6.94
net294,6.94
_0965_,6.9
_0805_,6.88
_0776_,6.86
rf.registers\[5\]\[9\],6.86
net291,6.84
_0229_,6.825
_0231_,6.825
_1172_,6.82
rf.registers\[25\]\[10\],6.82
rf.registers\[5\]\[16\],6.82
_0039_,6.81
_0112_,6.81
_0193_,6.8
_0216_,6.8
_0334_,6.78
_0320_,6.76
_0366_,6.76
_0993_,6.76
_1023_,6.76
rf.registers\[5\]\[11\],6.76
net254,6.76
_0595_,6.74
_0983_,6.74
_0261_,6.72
_0765_,6.72
_1018_,6.72
_1092_,6.72
_1104_,6.72
control,6.72
rf.registers\[5\]\[26\],6.72
_1068_,6.64
rf.registers\[5\]\[29\],6.64
net340,6.64
_0010_,6.6
_0275_,6.6
_0370_,6.6
_0448_,6.6
_0667_,6.6
_0710_,6.6
_1017_,6.6
_1215_,6.6
_0154_,6.53
_0462_,6.52
_0500_,6.52
_0603_,6.52
net293,6.52
_0887_,6.5
rf.registers\[10\]\[18\],6.48
rf.registers\[5\]\[30\],6.48
net195,6.48
_0290_,6.42
_0324_,6.42
_0129_,6.41
rf.registers\[5\]\[8\],6.4
_0721_,6.38
net214,6.38
net216,6.38
_0123_,6.37
_0584_,6.32
_0244_,6.3
_0639_,6.3
_0729_,6.3
_1060_,6.3
_1114_,6.3
_0337_,6.26
_0704_,6.26
_0928_,6.26
_1044_,6.26
_1173_,6.26
net308,6.26
Result[28],6.21
Result[6],6.21
_1113_,6.2
net302,6.2
_0386_,6.18
_0525_,6.18
_0547_,6.18
_0837_,6.18
net326,6.18
_0591_,6.16
_0811_,6.16
_0929_,6.14
_1165_,6.14
_0338_,6.06
net281,6.04
_0029_,6.02
_0141_,6.02
rf.registers\[10\]\[21\],6.02
_0111_,5.95
_1240_,5.94
rf.registers\[25\]\[8\],5.94
rf.registers\[5\]\[20\],5.94
_0342_,5.92
_1024_,5.92
_0004_,5.91
_0118_,5.91
_0869_,5.86
rf.registers\[25\]\[12\],5.86
_0203_,5.84
_0849_,5.84
net244,5.84
_0599_,5.82
_0418_,5.8
_1139_,5.8
net10,5.8
net265,5.8
net301,5.8
_1094_,5.78
_1129_,5.74
_0552_,5.72
_0739_,5.72
_0770_,5.72
_0870_,5.72
_0930_,5.72
_1147_,5.72
net336,5.72
net339,5.72
_0317_,5.7
_0254_,5.685
_0414_,5.68
_0429_,5.68
_0454_,5.68
_0668_,5.68
_0693_,5.68
_1030_,5.68
_1042_,5.68
_1154_,5.68
_1167_,5.68
_0351_,5.62
_0673_,5.6
rf.registers\[25\]\[11\],5.6
net276,5.6
_0852_,5.58
net252,5.58
net312,5.58
net313,5.58
_0007_,5.56
_0077_,5.56
_0149_,5.56
_0307_,5.56
Result[11],5.53
Result[14],5.53
_0155_,5.53
_0230_,5.505
_1229_,5.5
_0005_,5.49
_0096_,5.49
_0142_,5.49
_0687_,5.46
rf.registers\[25\]\[27\],5.46
_1231_,5.44
_0097_,5.43
_0130_,5.43
_0703_,5.4
_0016_,5.38
_0194_,5.38
_0262_,5.38
_0292_,5.38
_0323_,5.38
_0340_,5.38
_0435_,5.38
_1237_,5.38
net338,5.38
rf.registers\[25\]\[22\],5.36
_0301_,5.34
_0409_,5.34
_0527_,5.34
_0742_,5.34
_0813_,5.34
_1131_,5.34
_0044_,5.33
net194,5.28
_0074_,5.27
_0652_,5.26
_1136_,5.26
_0597_,5.24
_1206_,5.24
_0357_,5.22
_0369_,5.22
_0582_,5.22
_0716_,5.22
_0880_,5.22
_0937_,5.22
_1095_,5.22
_1178_,5.22
net300,5.14
net277,5.12
net329,5.12
_0034_,5.1
_0041_,5.1
_0075_,5.1
_0179_,5.085
_0056_,5.07
_0384_,5.06
_0601_,5.06
net226,5.06
_0175_,5.04
_0214_,5.04
net37,5.04
_0265_,5
_0330_,5
_1212_,5
net137,5
_0032_,4.99
_0681_,4.94
_0152_,4.93
_0206_,4.92
_0264_,4.92
_0904_,4.92
_0949_,4.92
_1155_,4.92
net211,4.92
net215,4.92
net225,4.92
net263,4.92
net269,4.92
_0298_,4.9
_0728_,4.9
_0172_,4.88
_0358_,4.88
_0365_,4.88
_0554_,4.88
_0980_,4.88
_1146_,4.88
rf.registers\[5\]\[0\],4.88
net325,4.88
_0055_,4.87
_0108_,4.87
Result[10],4.85
Result[12],4.85
Result[13],4.85
Result[15],4.85
Result[19],4.85
Result[1],4.85
Result[20],4.85
Result[21],4.85
Result[22],4.85
Result[23],4.85
Result[24],4.85
Result[25],4.85
Result[26],4.85
Result[27],4.85
Result[29],4.85
Result[2],4.85
Result[30],4.85
Result[4],4.85
Result[5],4.85
Result[7],4.85
Result[8],4.85
_0042_,4.81
_0329_,4.8
_0545_,4.8
_0745_,4.8
rf.registers\[25\]\[21\],4.8
_0103_,4.76
_0128_,4.76
_0368_,4.76
_0406_,4.76
_0412_,4.76
_0427_,4.76
_0199_,4.68
_0218_,4.68
_0618_,4.68
rf.registers\[15\]\[7\],4.68
_0818_,4.66
net319,4.66
_0235_,4.635
net243,4.6
net270,4.6
_0259_,4.58
